	Date	TD	YD	Release	Daily	%+-YD	%+-LW	Theatre	Avg	To Date	Days	Distributor	google trends
715	2020-10-27	4	6	2 Hearts	$33,628	+86%	-35.7%	1,678	$20	$1,040,535	12	"Freestyle Releasing

"	0.7083333333333334
716	2020-10-27	5	5	The Addams Family2020 Re-release	$30,765	+43.5%	-	1,307	$23	$335,046	5	"United Artists Releasing

"	0.0
717	2020-10-27	6	4	The New Mutants	$26,350	+8.3%	-39.6%	830	$31	$23,200,797	61	"20th Century Studios

"	0.5473453749315819
718	2020-10-27	7	7	Unhinged	$24,255	+38.1%	-44.3%	905	$26	$20,476,703	75	"Solstice Studios

"	2.0634920634920637
719	2020-10-27	8	8	After We Collided	$18,002	+4%	-	460	$39	$2,110,490	5	"Open Road Films (II)

"	11.04337839031717
720	2020-10-27	9	9	Love and Monsters	$15,433	+3.7%	-41.6%	380	$40	$609,397	12	"Paramount Pictures

"	2.8571428571428577
721	2020-10-27	10	10	The Kid Detective	$11,565	+27.5%	-44.7%	857	$13	$323,324	12	"Stage 6 Films

"	0.06
722	2020-10-27	11	25	Stevie Nicks 24 Karat Gold the Concert	$5,448	+1,561%	-	27	$201	$410,265	7	"Trafalgar Releasing

"	0.0
723	2020-10-27	12	11	Possessor	$4,614	+9%	-37.2%	104	$44	$723,945	26	"Neon

"	0.13
724	2020-10-27	13	13	Infidel	$2,825	+31.2%	-63.1%	192	$14	$4,028,827	40	"Cloudburst Entertainment

"	0.2380952380952381
725	2020-10-27	14	12	The Call	$2,815	-21.6%	-51.2%	116	$24	$437,117	26	"Atlas Distribution Company

"	12.093726379440671
726	2020-10-27	15	14	The Broken Hearts Gallery	$1,951	+36%	-20%	159	$12	$4,035,968	47	"TriStar Pictures

"	0.136986301369863
727	2020-10-27	16	17	The SpongeBob Movie: Sponge on the Run	$1,683	+45.6%	-57.5%	94	$17	$4,764,594	75	"Paramount Pictures

"	0.03
728	2020-10-27	17	20	A Call to Spy	$1,305	+60.9%	-35.1%	25	$52	$121,633	26	"IFC Films

"	0.08
729	2020-10-27	18	16	Yellow Rose	$1,286	+10.6%	-85.6%	104	$12	$351,655	19	"Stage 6 Films

"	0.43617021276595747
730	2020-10-27	19	15	Ava	$1,114	-19%	-49.3%	17	$65	$484,250	33	"Vertical Entertainment

"	13.983371126228276
731	2020-10-27	20	22	Lupin III: The First	$789	+73%	+41.1%	27	$29	$135,430	12	"GKIDS

"	0.037439999999999994
732	2020-10-27	21	19	The Last Shift	$760	-13.3%	-41.9%	13	$58	$641,983	33	"Stage 6 Films

"	0.05
733	2020-10-27	22	18	She Dies Tomorrow	$732	-20.8%	+10.9%	2	$366	$387,815	89	"Neon

"	0.04
734	2020-10-27	23	21	Shithouse	$615	+8.3%	+1,130%	28	$21	$16,287	12	"IFC Films

"	0.024550819672131147
735	2020-10-27	24	26	Pray: The Story of Patrick Peyton	$603	+129.3%	-62%	30	$20	$57,107	19	"ArtAffects Entertainment

"	0.0
736	2020-10-27	25	27	The Wolf of Snow Hollow	$459	+107.7%	-83.4%	19	$24	$183,920	19	"United Artists Releasing

"	0.15
737	2020-10-27	26	24	Counter Column	$370	+7.2%	-57.5%	5	$74	$13,146	12	"Not That Kind of Movie Productions

"	0.0065520000000000005
738	2020-10-27	27	23	Words on Bathroom Walls	$348	-8.9%	-69.5%	21	$16	$2,535,554	68	"Roadside Attractions

"	0.08
739	2020-10-27	28	28	Twiceborn	$230	+23.7%	-35.8%	10	$23	$9,819	12	"Freestyle Releasing

"	0.0
740	2020-10-27	29	29	Heaven	$173	-6%	-83.3%	15	$11	$109,407	26	"LAMA Distribution

"	12.127570762965224
741	2020-10-27	30	30	No Escape	$114	-28.8%	-69.3%	14	$8	$166,029	40	"Vertical Entertainment

"	0.7121212121212122
742	2020-10-27	31	31	Tulsa	$13	-38.1%	-95.4%	10	$1	$409,477	68	"Pryor Entertainment

"	10.498026371042247
743	2020-10-26	1	1	Honest Thief	$152,433	-73.7%	-33%	2,502	$60	$7,632,729	18	"Open Road Films (II)

"	1.1578947368421053
744	2020-10-26	2	2	The War with Grandpa	$94,010	-81.2%	-30.2%	2,345	$40	$9,844,226	18	"101 Studios

"	0.43661971830985913
745	2020-10-26	3	3	The Empty Man	$91,053	-70.5%	-	2,027	$44	$1,401,379	4	"20th Century Studios

"	0.7333333333333333
746	2020-10-26	4	10	The New Mutants	$24,331	-67.9%	-34.1%	830	$29	$23,174,447	60	"20th Century Studios

"	0.6385696040868456
747	2020-10-26	5	9	The Addams Family2020 Re-release	$21,440	-72.1%	-	1,307	$16	$304,281	4	"United Artists Releasing

"	0.0
748	2020-10-26	6	11	2 Hearts	$18,075	-75.3%	-43.2%	1,678	$10	$1,006,907	11	"Freestyle Releasing

"	0.6875
749	2020-10-26	7	12	Unhinged	$17,563	-69.3%	-41.1%	905	$19	$20,452,448	74	"Solstice Studios

"	2.53968253968254
750	2020-10-26	8	8	After We Collided	$17,316	-78%	-	460	$37	$2,092,488	4	"Open Road Films (II)

"	11.779603616338315
751	2020-10-26	9	13	Love and Monsters	$14,886	-68.6%	-28.4%	380	$39	$593,964	11	"Paramount Pictures

"	3.3333333333333335
752	2020-10-26	10	14	The Kid Detective	$9,068	-59.1%	-43.9%	857	$10	$311,759	11	"Stage 6 Films

"	0.11
753	2020-10-26	11	18	Possessor	$4,233	-30.3%	-30.9%	104	$40	$719,331	25	"Neon

"	0.15
754	2020-10-26	12	16	The Call	$3,590	-65%	-41.2%	116	$30	$434,302	25	"Atlas Distribution Company

"	11.52683295540439
755	2020-10-26	13	17	Infidel	$2,154	-72.9%	-68%	192	$11	$4,026,002	39	"Cloudburst Entertainment

"	0.15873015873015875
756	2020-10-26	14	19	The Broken Hearts Gallery	$1,435	-58.8%	-35.9%	159	$9	$4,034,017	46	"TriStar Pictures

"	0.136986301369863
757	2020-10-26	15	21	Ava	$1,375	-42.2%	-6.5%	17	$80	$483,136	32	"Vertical Entertainment

"	14.361300075585795
758	2020-10-26	16	20	Yellow Rose	$1,163	-51.2%	-83.1%	104	$11	$350,369	18	"Stage 6 Films

"	0.2978723404255319
759	2020-10-26	17	15	The SpongeBob Movie: Sponge on the Run	$1,156	-89.7%	-46.9%	94	$12	$4,762,911	74	"Paramount Pictures

"	0.04
760	2020-10-26	18	24	She Dies Tomorrow	$924	-40.5%	+45.3%	2	$462	$387,083	88	"Neon

"	0.02
761	2020-10-26	19	28	The Last Shift	$877	-21.4%	-27.6%	13	$67	$641,223	32	"Stage 6 Films

"	0.03
762	2020-10-26	20	25	A Call to Spy	$811	-46.1%	-40.6%	25	$32	$120,328	25	"IFC Films

"	0.1
763	2020-10-26	21	26	Shithouse	$568	-55.4%	+136.7%	28	$20	$15,672	11	"IFC Films

"	0.018413114754098358
764	2020-10-26	22	23	Lupin III: The First	$456	-70.7%	+83.1%	27	$16	$134,641	11	"GKIDS

"	0.01248
765	2020-10-26	23	30	Words on Bathroom Walls	$382	-48.2%	-59.8%	21	$18	$2,535,206	67	"Roadside Attractions

"	0.04
766	2020-10-26	24	32	Counter Column	$345	-49.7%	-46.9%	5	$69	$12,776	11	"Not That Kind of Movie Productions

"	0.0126672
767	2020-10-26	25	4	Stevie Nicks 24 Karat Gold the Concert	$328	-99.8%	-	7	$46	$404,817	6	"Trafalgar Releasing

"	0.0
768	2020-10-26	26	22	Pray: The Story of Patrick Peyton	$263	-87.1%	-71.8%	30	$8	$56,504	18	"ArtAffects Entertainment

"	0.0
769	2020-10-26	27	29	The Wolf of Snow Hollow	$221	-77.1%	-89.2%	19	$11	$183,461	18	"United Artists Releasing

"	0.09
770	2020-10-26	28	27	Twiceborn	$186	-83.7%	-66%	10	$18	$9,589	11	"Freestyle Releasing

"	0.0179088
771	2020-10-26	29	33	Heaven	$184	-72.6%	-83.7%	15	$12	$109,234	25	"LAMA Distribution

"	12.127570762965224
772	2020-10-26	30	34	No Escape	$160	-53.4%	-48.1%	14	$11	$165,915	39	"Vertical Entertainment

"	0.5606060606060606
773	2020-10-26	31	35	Tulsa	$21	-90.6%	-88.1%	10	$2	$409,464	67	"Pryor Entertainment

"	10.498026371042247
774	2020-10-25	1	1	Honest Thief	$580,517	-45%	-28.9%	2,502	$232	$7,480,296	17	"Open Road Films (II)

"	1.7105263157894737
775	2020-10-25	2	2	The War with Grandpa	$500,322	-42.4%	-21.9%	2,345	$213	$9,750,216	17	"101 Studios

"	0.5915492957746479
776	2020-10-25	3	3	The Empty Man	$309,166	-43.2%	-	2,027	$152	$1,310,326	3	"20th Century Studios

"	1.5777777777777777
777	2020-10-25	4	14	Stevie Nicks 24 Karat Gold the Concert	$205,383	+837.4%	-	413	$497	$404,489	5	"Trafalgar Releasing

"	0.0
778	2020-10-25	5	4	The Nightmare Before Christmas2020 Re-release	$127,000	-50.4%	-56.4%	1,614	$78	$1,900,000	10	"Walt Disney Studios Motion Pictures

"	0.0
779	2020-10-25	6	5	Hocus Pocus2020 Re-release	$117,000	-50%	-29.5%	1,277	$91	$4,372,000	24	"Walt Disney Studios Motion Pictures

"	0.0
780	2020-10-25	7	6	Monsters, Inc.2020 Re-release	$108,000	-51.4%	-	1,875	$57	$494,000	3	"Walt Disney Studios Motion Pictures

"	0.0
781	2020-10-25	8	7	After We Collided	$78,710	-43%	-	460	$171	$2,075,172	3	"Open Road Films (II)

"	15.951546563791467
782	2020-10-25	9	9	The Addams Family2020 Re-release	$76,723	-40.6%	-	1,307	$58	$282,841	3	"United Artists Releasing

"	0.0
783	2020-10-25	10	10	The New Mutants	$75,785	-40.1%	-40.2%	830	$91	$23,150,116	59	"20th Century Studios

"	0.8210180623973728
784	2020-10-25	11	8	2 Hearts	$73,270	-46.2%	-37.6%	1,678	$43	$988,832	10	"Freestyle Releasing

"	0.9166666666666666
785	2020-10-25	12	11	Unhinged	$57,214	-54.1%	-44.5%	905	$63	$20,434,885	73	"Solstice Studios

"	3.968253968253969
786	2020-10-25	13	12	Love and Monsters	$47,380	-53%	-21.1%	380	$124	$579,078	10	"Paramount Pictures

"	4.682539682539683
787	2020-10-25	14	13	The Kid Detective	$22,167	-41.7%	-41.4%	857	$25	$302,691	10	"Stage 6 Films

"	0.2
788	2020-10-25	15	16	The SpongeBob Movie: Sponge on the Run	$11,258	-20%	-30%	94	$119	$4,761,755	73	"Paramount Pictures

"	0.08
789	2020-10-25	16	15	The Call	$10,259	-49.8%	-36%	116	$88	$430,712	24	"Atlas Distribution Company

"	11.148904006046868
790	2020-10-25	17	18	Infidel	$7,947	-33.5%	-59.1%	192	$41	$4,023,848	38	"Cloudburst Entertainment

"	0.4761904761904762
791	2020-10-25	18	17	Possessor	$6,069	-51%	-60.2%	104	$58	$715,098	24	"Neon

"	0.23
792	2020-10-25	19	19	The Broken Hearts Gallery	$3,479	-42.1%	-32.4%	159	$21	$4,032,582	45	"TriStar Pictures

"	0.1506849315068493
793	2020-10-25	20	23	Yellow Rose	$2,381	-27.3%	-88.8%	104	$22	$349,206	17	"Stage 6 Films

"	0.46808510638297873
794	2020-10-25	21	20	Ava	$2,380	-53%	-47.6%	17	$140	$481,761	31	"Vertical Entertainment

"	11.337868480725628
795	2020-10-25	22	26	Pray: The Story of Patrick Peyton	$2,037	-10.9%	-57.7%	30	$67	$56,241	17	"ArtAffects Entertainment

"	0.0100464
796	2020-10-25	23	28	Lupin III: The First	$1,558	-13.3%	-98.1%	27	$57	$134,185	10	"GKIDS

"	0.023712
797	2020-10-25	24	24	She Dies Tomorrow	$1,554	-51.9%	+0.5%	2	$777	$386,159	87	"Neon

"	0.04
798	2020-10-25	25	21	A Call to Spy	$1,504	-60.5%	-30.9%	25	$60	$119,517	24	"IFC Films

"	0.12
799	2020-10-25	26	22	Shithouse	$1,274	-66%	+17.9%	28	$45	$15,104	10	"IFC Films

"	0.04500983606557377
800	2020-10-25	27	29	Twiceborn	$1,140	-3.1%	-43%	10	$114	$9,403	10	"Freestyle Releasing

"	0.0100464
801	2020-10-25	28	27	The Last Shift	$1,116	-38.2%	-54.6%	13	$85	$640,346	31	"Stage 6 Films

"	0.04
802	2020-10-25	29	25	The Wolf of Snow Hollow	$964	-63.2%	-85.1%	19	$50	$183,240	17	"United Artists Releasing

"	0.24
803	2020-10-25	30	33	Words on Bathroom Walls	$737	-8.9%	-68.1%	21	$35	$2,534,824	66	"Roadside Attractions

"	0.09333333333333334
804	2020-10-25	31	30	Shortcut	$704	-39.6%	-84.5%	22	$32	$793,084	31	"Gravitas Ventures

"	5.102040816326533
805	2020-10-25	32	32	Counter Column	$686	-20.4%	-55.9%	7	$98	$12,429	10	"Not That Kind of Movie Productions

"	0.006988800000000001
806	2020-10-25	33	34	Heaven	$672	+29.2%	-83.8%	15	$44	$109,050	24	"LAMA Distribution

"	14.665899527306783
807	2020-10-25	34	31	No Escape	$343	-68.1%	-56.9%	14	$24	$165,755	38	"Vertical Entertainment

"	0.5
808	2020-10-25	35	36	Tulsa	$223	+10.9%	-77.1%	10	$22	$409,443	66	"Pryor Entertainment

"	9.185773074661967
809	2020-10-25	36	35	Dreaming Grand Avenue	$199	-46.4%	-	1	$199	$7,789	31	"Newcity

"	0.0
810	2020-10-24	1	1	Honest Thief	$1,055,487	+47%	-28.3%	2,502	$421	$6,899,779	16	"Open Road Films (II)

"	1.9473684210526316
811	2020-10-24	2	2	The War with Grandpa	$868,026	+59.3%	-23.6%	2,345	$370	$9,249,894	16	"101 Studios

"	0.7605633802816901
812	2020-10-24	3	3	The Empty Man	$544,612	+19.3%	-	2,027	$268	$1,001,160	2	"20th Century Studios

"	2.2222222222222223
813	2020-10-24	4	5	The Nightmare Before Christmas2020 Re-release	$256,000	+32%	-54.9%	1,614	$158	$1,773,000	9	"Walt Disney Studios Motion Pictures

"	0.0
814	2020-10-24	5	6	Hocus Pocus2020 Re-release	$234,000	+30.7%	-31%	1,277	$183	$4,255,000	23	"Walt Disney Studios Motion Pictures

"	0.0
815	2020-10-24	6	7	Monsters, Inc.2020 Re-release	$222,000	+35.4%	-	1,875	$118	$386,000	2	"Walt Disney Studios Motion Pictures

"	0.0
816	2020-10-24	7	4	After We Collided	$138,088	-33%	-	460	$300	$1,996,462	2	"Open Road Films (II)

"	24.54084086737149
817	2020-10-24	8	8	2 Hearts	$136,065	+24.1%	-35.1%	1,678	$81	$915,562	9	"Freestyle Releasing

"	1.3125
818	2020-10-24	9	11	The Addams Family2020 Re-release	$129,093	+67.6%	-	1,307	$98	$206,118	2	"United Artists Releasing

"	0.0
819	2020-10-24	10	9	The New Mutants	$126,573	+58.1%	-40.5%	830	$152	$23,074,331	58	"20th Century Studios

"	1.0946907498631637
820	2020-10-24	11	10	Unhinged	$124,607	+55.7%	-36.4%	905	$137	$20,377,671	72	"Solstice Studios

"	4.4444444444444455
821	2020-10-24	12	12	Love and Monsters	$100,859	+47.1%	-16%	380	$265	$531,698	9	"Paramount Pictures

"	4.047619047619048
822	2020-10-24	13	13	The Kid Detective	$38,014	+16%	-35.2%	857	$44	$280,524	9	"Stage 6 Films

"	0.2
823	2020-10-24	14	14	Stevie Nicks 24 Karat Gold the Concert	$21,909	+35.1%	-	131	$167	$199,106	4	"Trafalgar Releasing

"	0.0
824	2020-10-24	15	15	The Call	$20,445	+68.2%	-29.9%	116	$176	$420,453	23	"Atlas Distribution Company

"	11.148904006046868
825	2020-10-24	16	18	The SpongeBob Movie: Sponge on the Run	$14,072	+133%	-40.7%	94	$149	$4,750,497	72	"Paramount Pictures

"	0.08
826	2020-10-24	17	16	Possessor	$12,387	+29%	-59.3%	104	$119	$709,029	23	"Neon

"	0.17
827	2020-10-24	18	17	Infidel	$11,947	+43.4%	-59.7%	192	$62	$4,015,901	37	"Cloudburst Entertainment

"	0.4761904761904762
828	2020-10-24	19	19	The Broken Hearts Gallery	$6,008	+23.2%	-28.8%	159	$37	$4,029,103	44	"TriStar Pictures

"	0.2054794520547945
829	2020-10-24	20	21	Ava	$5,063	+33.6%	-60.1%	17	$297	$479,381	30	"Vertical Entertainment

"	11.90476190476191
830	2020-10-24	21	20	A Call to Spy	$3,807	-2.9%	-23.6%	25	$152	$118,013	23	"IFC Films

"	0.19
831	2020-10-24	22	22	Shithouse	$3,750	+16.4%	+61.4%	28	$133	$13,830	9	"IFC Films

"	0.051147540983606556
832	2020-10-24	23	24	Yellow Rose	$3,277	+35%	-88.2%	104	$31	$346,825	16	"Stage 6 Films

"	0.40425531914893614
833	2020-10-24	24	25	She Dies Tomorrow	$3,230	+39.6%	-44.4%	2	$1,615	$384,605	86	"Neon

"	0.04
834	2020-10-24	25	28	The Wolf of Snow Hollow	$2,617	+31.7%	-77.7%	19	$137	$182,276	16	"United Artists Releasing

"	0.21
835	2020-10-24	26	27	Pray: The Story of Patrick Peyton	$2,286	+7.5%	-28.3%	30	$76	$54,204	16	"ArtAffects Entertainment

"	0.0
836	2020-10-24	27	23	The Last Shift	$1,806	-27.5%	-59.4%	13	$138	$639,230	30	"Stage 6 Films

"	0.06
837	2020-10-24	28	26	Lupin III: The First	$1,796	-19.7%	-	27	$66	$132,627	9	"GKIDS

"	0.027455999999999998
838	2020-10-24	29	32	Twiceborn	$1,176	+150.7%	-34.7%	10	$117	$8,263	9	"Freestyle Releasing

"	0.0100464
839	2020-10-24	30	30	Shortcut	$1,166	-	-82.6%	22	$53	$792,380	30	"Gravitas Ventures

"	5.102040816326533
840	2020-10-24	31	33	No Escape	$1,075	+135.7%	-42.1%	14	$76	$165,412	37	"Vertical Entertainment

"	0.6060606060606061
841	2020-10-24	32	29	Counter Column	$862	-29.7%	-59.2%	7	$123	$11,743	9	"Not That Kind of Movie Productions

"	0.006988800000000001
842	2020-10-24	33	31	Words on Bathroom Walls	$809	+3.5%	-76.2%	21	$38	$2,534,087	65	"Roadside Attractions

"	0.09333333333333334
843	2020-10-24	34	34	Heaven	$520	+49.9%	-83.8%	15	$34	$108,378	23	"LAMA Distribution

"	13.537753409821645
844	2020-10-24	35	36	Dreaming Grand Avenue	$371	+88.3%	-	1	$371	$7,590	30	"Newcity

"	0.0100464
845	2020-10-24	36	35	Tulsa	$201	-33.7%	-85.3%	10	$20	$409,220	65	"Pryor Entertainment

"	11.810279667422527
846	2020-10-23	1	1	Honest Thief	$718,018	+237.7%	-45.6%	2,502	$286	$5,844,292	15	"Open Road Films (II)

"	1.631578947368421
847	2020-10-23	2	2	The War with Grandpa	$544,821	+317.2%	-25.3%	2,345	$232	$8,381,868	15	"101 Studios

"	0.5070422535211268
848	2020-10-23	3	-	The Empty Man	$456,548	-	-	2,027	$225	$456,548	1	"20th Century Studios

"	1.711111111111111
849	2020-10-23	4	-	After We Collided	$206,101	-	-	460	$448	$1,858,374	1	"Open Road Films (II)

"	20.12348951124462
850	2020-10-23	5	-	The Nightmare Before Christmas2020 Re-release	$194,000	-	-58.3%	1,614	$120	$1,517,000	8	"Walt Disney Studios Motion Pictures

"	0.0
851	2020-10-23	6	-	Hocus Pocus2020 Re-release	$179,000	-	-28.7%	1,277	$140	$4,021,000	22	"Walt Disney Studios Motion Pictures

"	0.0
852	2020-10-23	7	-	Monsters, Inc.2020 Re-release	$164,000	-	-	1,875	$87	$164,000	1	"Walt Disney Studios Motion Pictures

"	0.0
853	2020-10-23	8	3	2 Hearts	$109,675	+246.8%	-44.1%	1,678	$65	$779,497	8	"Freestyle Releasing

"	1.2083333333333333
854	2020-10-23	9	4	The New Mutants	$80,044	+159.7%	-37.9%	830	$96	$22,947,758	57	"20th Century Studios

"	0.6385696040868456
855	2020-10-23	10	5	Unhinged	$80,015	+176.7%	-36.1%	905	$88	$20,253,064	71	"Solstice Studios

"	3.1746031746031753
856	2020-10-23	11	-	The Addams Family2020 Re-release	$77,025	-	-	1,307	$58	$77,025	1	"United Artists Releasing

"	0.0
857	2020-10-23	12	6	Love and Monsters	$68,564	+192.6%	-24%	380	$180	$430,839	8	"Paramount Pictures

"	3.571428571428572
858	2020-10-23	13	7	The Kid Detective	$32,779	+122.7%	-25.1%	857	$38	$242,510	8	"Stage 6 Films

"	0.17
859	2020-10-23	14	8	Stevie Nicks 24 Karat Gold the Concert	$16,217	+100.8%	-	92	$176	$177,197	3	"Trafalgar Releasing

"	0.0
860	2020-10-23	15	12	The Call	$12,155	+186%	-27.4%	116	$104	$400,008	22	"Atlas Distribution Company

"	12.660619803476953
861	2020-10-23	16	10	Possessor	$9,602	+45.1%	-61.6%	104	$92	$696,642	22	"Neon

"	0.1
862	2020-10-23	17	11	Infidel	$8,332	+72.1%	-63.2%	192	$43	$4,003,954	36	"Cloudburst Entertainment

"	0.3174603174603175
863	2020-10-23	18	13	The SpongeBob Movie: Sponge on the Run	$6,040	+67.2%	-20.9%	94	$64	$4,736,425	71	"Paramount Pictures

"	0.06
864	2020-10-23	19	14	The Broken Hearts Gallery	$4,875	+92.4%	-40.6%	159	$30	$4,023,095	43	"TriStar Pictures

"	0.2465753424657534
865	2020-10-23	20	17	A Call to Spy	$3,920	+117.4%	-9.4%	25	$156	$114,206	22	"IFC Films

"	0.11
866	2020-10-23	21	16	Ava	$3,789	+71.5%	-40.8%	17	$222	$474,318	29	"Vertical Entertainment

"	13.038548752834473
867	2020-10-23	22	25	Shithouse	$3,221	+323.3%	+50.4%	28	$115	$10,080	8	"IFC Films

"	0.032734426229508194
868	2020-10-23	23	20	The Last Shift	$2,490	+96.5%	-21.3%	13	$191	$637,424	29	"Stage 6 Films

"	0.05
869	2020-10-23	24	9	Yellow Rose	$2,427	-66%	-88.7%	104	$23	$343,548	15	"Stage 6 Films

"	0.3404255319148936
870	2020-10-23	25	23	She Dies Tomorrow	$2,314	+175.5%	-43.8%	2	$1,157	$381,375	85	"Neon

"	0.03
871	2020-10-23	26	28	Lupin III: The First	$2,238	+439.3%	-	27	$82	$130,831	8	"GKIDS

"	0.032448
872	2020-10-23	27	22	Pray: The Story of Patrick Peyton	$2,126	+103.6%	-44%	30	$70	$51,918	15	"ArtAffects Entertainment

"	0.009609600000000001
873	2020-10-23	28	15	The Wolf of Snow Hollow	$1,987	-15.5%	-77.1%	19	$104	$179,659	15	"United Artists Releasing

"	0.21
874	2020-10-23	29	32	Counter Column	$1,226	+378.9%	-56%	7	$175	$10,881	8	"Not That Kind of Movie Productions

"	0.0065520000000000005
875	2020-10-23	30	29	Shortcut	$1,166	+213.4%	-72%	22	$53	$791,214	29	"Gravitas Ventures

"	6.802721088435377
876	2020-10-23	31	21	Words on Bathroom Walls	$782	-33.8%	-58.7%	21	$37	$2,533,278	64	"Roadside Attractions

"	0.10666666666666667
877	2020-10-23	32	34	Twiceborn	$469	+143%	-66.8%	10	$46	$7,087	8	"Freestyle Releasing

"	0.014414400000000003
878	2020-10-23	33	30	No Escape	$456	+46.2%	-55%	14	$32	$164,337	36	"Vertical Entertainment

"	0.5151515151515151
879	2020-10-23	34	26	Heaven	$347	-53.9%	-84%	15	$23	$107,858	22	"LAMA Distribution

"	12.409607292336508
880	2020-10-23	35	31	Tulsa	$303	+5.9%	-76.5%	10	$30	$409,019	64	"Pryor Entertainment

"	11.810279667422527
881	2020-10-23	36	33	Dreaming Grand Avenue	$197	-	+2,088.9%	1	$197	$7,219	29	"Newcity

"	0.009609600000000001
882	2020-10-22	1	1	Honest Thief	$212,620	-7.6%	-	2,425	$87	$5,126,274	14	"Open Road Films (II)

"	1.3421052631578947
883	2020-10-22	2	3	The War with Grandpa	$130,581	+2.1%	-36.4%	2,260	$57	$7,837,047	14	"101 Studios

"	0.4647887323943662
884	2020-10-22	3	7	2 Hearts	$31,621	+0.6%	-	1,683	$18	$669,822	7	"Freestyle Releasing

"	0.7291666666666666
885	2020-10-22	4	6	The New Mutants	$30,823	-2.2%	-36.8%	1,293	$23	$22,867,714	56	"20th Century Studios

"	0.6385696040868456
886	2020-10-22	5	5	Unhinged	$28,918	-13%	-35.6%	1,276	$22	$20,173,049	70	"Solstice Studios

"	3.0158730158730163
887	2020-10-22	6	8	Love and Monsters	$23,436	+10%	-	387	$60	$362,275	7	"Paramount Pictures

"	3.4920634920634925
888	2020-10-22	7	9	The Kid Detective	$14,717	-17%	-	865	$17	$209,731	7	"Stage 6 Films

"	0.13
889	2020-10-22	8	2	Stevie Nicks 24 Karat Gold the Concert	$8,075	-94.7%	-	49	$164	$160,980	2	"Trafalgar Releasing

"	0.0
890	2020-10-22	9	10	Yellow Rose	$7,133	-10.2%	-42.3%	900	$7	$341,121	14	"Stage 6 Films

"	0.44680851063829785
891	2020-10-22	10	12	Possessor	$6,616	+14%	-64.1%	188	$35	$687,040	21	"Neon

"	0.12
892	2020-10-22	11	11	Infidel	$4,842	-17.3%	-63.2%	471	$10	$3,995,622	35	"Cloudburst Entertainment

"	0.3968253968253969
893	2020-10-22	12	13	The Call	$4,250	-12.4%	-32%	154	$27	$387,853	21	"Atlas Distribution Company

"	13.416477702191994
894	2020-10-22	13	14	The SpongeBob Movie: Sponge on the Run	$3,612	+6.1%	+27.2%	131	$27	$4,730,385	70	"Paramount Pictures

"	0.05
895	2020-10-22	14	16	The Broken Hearts Gallery	$2,534	+15.1%	-64.4%	259	$9	$4,018,220	42	"TriStar Pictures

"	0.1917808219178082
896	2020-10-22	15	18	The Wolf of Snow Hollow	$2,352	+23.5%	-82.5%	89	$26	$177,672	14	"United Artists Releasing

"	0.15
897	2020-10-22	16	15	Ava	$2,209	-5.7%	-44%	69	$32	$470,529	28	"Vertical Entertainment

"	13.038548752834473
898	2020-10-22	17	20	A Call to Spy	$1,803	+17.5%	-47.3%	44	$40	$110,286	21	"IFC Films

"	0.09
899	2020-10-22	18	17	Kajillionaire	$1,440	-26.7%	-65.4%	91	$15	$531,430	28	"Focus Features

"	0.4838709677419355
900	2020-10-22	19	25	Bill & Ted Face the Music	$1,300	+40.2%	-32.1%	42	$30	$3,439,660	56	"United Artists Releasing

"	0.03
901	2020-10-22	20	23	The Last Shift	$1,267	-2.1%	-36.7%	51	$24	$634,934	28	"Stage 6 Films

"	0.07
902	2020-10-22	21	21	Words on Bathroom Walls	$1,182	-20.2%	-63.6%	66	$17	$2,532,496	63	"Roadside Attractions

"	0.06666666666666667
903	2020-10-22	22	22	Pray: The Story of Patrick Peyton	$1,044	-27.8%	-22.1%	22	$47	$49,792	14	"ArtAffects Entertainment

"	0.0
904	2020-10-22	23	24	She Dies Tomorrow	$840	-24.9%	-38.3%	2	$420	$379,061	84	"Neon

"	0.02
905	2020-10-22	24	30	Henchmen2020 Re-release	$792	+69.6%	-72.6%	87	$9	$49,676	14	"Vertical Entertainment

"	0.0
906	2020-10-22	25	34	Shithouse	$761	+189.4%	-	28	$27	$6,859	7	"IFC Films

"	0.04500983606557377
907	2020-10-22	26	29	Heaven	$752	+33.3%	-63.5%	66	$11	$107,511	21	"LAMA Distribution

"	12.691643821707794
908	2020-10-22	27	28	The Personal History of David Copperfield	$648	+9.8%	-33.7%	64	$10	$1,876,298	56	"Searchlight Pictures

"	0.03
909	2020-10-22	28	4	Lupin III: The First	$415	-99.1%	-	418	$0	$128,593	7	"GKIDS

"	0.02496
910	2020-10-22	29	26	Shortcut	$372	-49.2%	-83.6%	18	$20	$790,048	28	"Gravitas Ventures

"	7.747543461829179
911	2020-10-22	30	31	No Escape	$312	-12.4%	-44.2%	24	$13	$163,881	35	"Vertical Entertainment

"	0.5151515151515151
912	2020-10-22	31	33	Tulsa	$286	+2.5%	-71.4%	36	$7	$408,716	63	"Pryor Entertainment

"	10.498026371042247
913	2020-10-22	32	27	Counter Column	$256	-62.7%	-	2	$128	$9,655	7	"Not That Kind of Movie Productions

"	0.019219200000000002
914	2020-10-22	33	-	Dreaming Grand Avenue	$197	-	-	3	$65	$7,022	28	"Newcity

"	0.0
915	2020-10-22	34	32	Twiceborn	$193	-36.3%	-	7	$27	$6,618	7	"Freestyle Releasing

"	0.0
