	Date	TD	YD	Release	Daily	%+-YD	%+-LW	Theatre	Avg	To Date	Days	Distributor	google trends
45	2020-11-21	21	21	2 Hearts	$2,092	+100.8%	-72.4%	54	$38	$1,344,629	37	"Freestyle Releasing

"	0.5416666666666666
46	2020-11-21	22	22	After We Collided	$923	+37.8%	-87.4%	31	$29	$2,382,494	30	"Open Road Films (II)

"	3.1903093127582935
47	2020-11-21	23	23	Pray: The Story of Patrick Peyton	$101	-81.1%	-83.1%	12	$8	$70,447	44	"ArtAffects Entertainment

"	0.0
48	2020-11-21	24	24	The Call	$80	-54.3%	-92.1%	6	$13	$516,086	51	"Atlas Distribution Company

"	11.90476190476191
49	2020-11-21	25	25	Words on Bathroom Walls	$13	-63.9%	-87.7%	1	$13	$2,542,485	93	"Roadside Attractions

"	0.38666666666666666
50	2020-11-20	1	1	Freaky	$407,445	+164.9%	-72.6%	2,057	$198	$4,779,740	8	"Universal Pictures

"	3.0234315948601678
51	2020-11-20	2	2	Let Him Go	$227,080	+177.2%	-59.3%	1,907	$119	$7,446,380	15	"Focus Features

"	0.7936507936507938
52	2020-11-20	3	3	The War with Grandpa	$198,030	+297.1%	-39.9%	1,688	$117	$15,647,623	43	"101 Studios

"	0.4647887323943662
53	2020-11-20	4	5	Come Play	$159,650	+236.5%	-52.5%	1,364	$117	$7,664,315	22	"Focus Features

"	2.53968253968254
54	2020-11-20	5	-	The Santa Clause2020 Re-release	$149,000	-	-	1,581	$94	$149,000	1	"Walt Disney Studios Motion Pictures

"	0.0
55	2020-11-20	6	6	Honest Thief	$132,954	+208.9%	-44.3%	1,254	$106	$12,691,523	43	"Open Road Films (II)

"	0.7368421052631579
56	2020-11-20	7	-	Vanguard	$127,665	-	-	1,375	$92	$127,665	1	"Gravitas Ventures

"	7.180650037792898
57	2020-11-20	8	-	The Last Vermeer	$84,036	-	-	912	$92	$84,036	1	"TriStar Pictures

"	0.59
58	2020-11-20	9	-	Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song	$70,000	-	-	304	$230	$70,000	3	"Fathom Events

"	0.0
59	2020-11-20	10	-	Buddy Games	$54,987	-	-	401	$137	$54,987	1	"Paramount Pictures

"	0.37
60	2020-11-20	11	-	The Forgotten Carols	$52,694	-	-	58	$908	$52,694	1	"Purdie Distribution

"	0.027518400000000002
61	2020-11-20	12	-	Elf2020 Re-release	$50,000	-	-13.8%	259	$193	$223,568	8	"New Line Cinema

"	0.0
62	2020-11-20	13	-	True to the Game 2	$46,439	-	-43.2%	216	$214	$657,149	15	"Faith Media Distribution

"	0.33
63	2020-11-20	14	-	Guardians of the Galaxy2020 Re-release	$40,000	-	-67.5%	815	$49	$446,000	8	"Walt Disney Studios Motion Pictures

"	0.0
64	2020-11-20	15	11	Come Away	$10,521	+210.4%	-65.3%	264	$39	$139,991	8	"Relativity Media

"	0.9811320754716981
65	2020-11-20	16	7	The New Mutants	$10,236	+39.4%	-57.8%	105	$97	$23,781,597	85	"20th Century Studios

"	2.1893814997263275
66	2020-11-20	17	12	The Empty Man	$7,637	+137.5%	-71.3%	202	$37	$2,948,098	29	"20th Century Studios

"	0.2222222222222222
67	2020-11-20	18	-	Ammonite	$6,999	-	-76.6%	180	$38	$94,551	8	"Neon

"	0.5490196078431373
68	2020-11-20	19	-	Embattled	$6,494	-	-	68	$95	$6,494	1	"IFC Films

"	0.24
69	2020-11-20	20	9	The Informer	$4,569	-10.4%	-76.6%	63	$72	$274,968	15	"Vertical Entertainment

"	0.22105263157894736
70	2020-11-20	21	13	2 Hearts	$1,042	-8.8%	-83.2%	54	$19	$1,342,537	36	"Freestyle Releasing

"	0.3541666666666667
71	2020-11-20	22	14	After We Collided	$670	-34.3%	-87.7%	31	$21	$2,381,571	29	"Open Road Films (II)

"	1.9632672693897193
72	2020-11-20	23	17	Pray: The Story of Patrick Peyton	$534	+253.6%	-60.9%	12	$44	$70,346	43	"ArtAffects Entertainment

"	0.0091728
73	2020-11-20	24	18	The Call	$175	+68.3%	-63.5%	6	$29	$516,006	50	"Atlas Distribution Company

"	12.849584278155714
74	2020-11-20	25	20	Words on Bathroom Walls	$36	+63.6%	-74.8%	1	$36	$2,542,472	92	"Roadside Attractions

"	0.21333333333333335
75	2020-11-19	1	1	Freaky	$153,825	-7.3%	-	2,472	$62	$4,372,295	7	"Universal Pictures

"	2.645502645502647
76	2020-11-19	2	2	Let Him Go	$81,905	-0.6%	-57.8%	2,458	$33	$7,219,300	14	"Focus Features

"	0.7142857142857144
77	2020-11-19	3	5	The War with Grandpa	$49,872	+7.1%	-42.6%	2,145	$23	$15,449,593	42	"101 Studios

"	0.39436619718309857
78	2020-11-19	4	3	The Last Shift	$47,510	-4.9%	+55,144.2%	135	$351	$1,034,467	56	"Stage 6 Films

"	0.03
79	2020-11-19	5	4	Come Play	$47,440	-1.8%	-47%	1,966	$24	$7,504,665	21	"Focus Features

"	1.9047619047619049
80	2020-11-19	6	6	Honest Thief	$43,044	+2.9%	-48.1%	1,843	$23	$12,558,569	42	"Open Road Films (II)

"	0.6842105263157895
81	2020-11-19	7	7	The New Mutants	$7,341	+0.8%	-43.9%	215	$34	$23,771,361	84	"20th Century Studios

"	2.0069330414158006
82	2020-11-19	8	12	Spell	$5,290	+105.4%	-28.9%	159	$33	$500,104	21	"Paramount Pictures

"	16.072840374975026
83	2020-11-19	9	9	The Informer	$5,098	-1.6%	-55.1%	168	$30	$270,399	14	"Vertical Entertainment

"	0.25263157894736843
84	2020-11-19	10	8	Love and Monsters	$4,642	-16.8%	-48.5%	129	$35	$1,070,714	35	"Paramount Pictures

"	0.7936507936507938
85	2020-11-19	11	10	Come Away	$3,389	-27.3%	-	475	$7	$129,470	7	"Relativity Media

"	0.8867924528301887
86	2020-11-19	12	11	The Empty Man	$3,216	-19.3%	-79.3%	506	$6	$2,940,461	28	"20th Century Studios

"	0.17777777777777778
87	2020-11-19	13	13	2 Hearts	$1,142	+12.1%	-71.1%	148	$7	$1,341,495	35	"Freestyle Releasing

"	0.2708333333333333
88	2020-11-19	14	14	After We Collided	$1,020	+18.9%	-74.5%	141	$7	$2,380,901	28	"Open Road Films (II)

"	1.9632672693897193
89	2020-11-19	15	15	A Call to Spy	$597	+5.1%	+38.8%	8	$74	$151,929	49	"IFC Films

"	0.04
90	2020-11-19	16	16	The Broken Hearts Gallery	$255	-35.8%	-44.4%	239	$1	$4,067,442	70	"TriStar Pictures

"	0.1643835616438356
91	2020-11-19	17	17	Pray: The Story of Patrick Peyton	$151	-4.4%	-42.1%	19	$7	$69,812	42	"ArtAffects Entertainment

"	0.0
92	2020-11-19	18	18	The Call	$104	-32.9%	-92.7%	20	$5	$515,831	49	"Atlas Distribution Company

"	13.038548752834473
93	2020-11-19	19	21	Counter Column	$25	-	-40.5%	1	$25	$15,529	35	"Not That Kind of Movie Productions

"	0.0
94	2020-11-19	20	19	Words on Bathroom Walls	$22	-	-96.9%	4	$5	$2,542,436	91	"Roadside Attractions

"	0.22666666666666666
95	2020-11-19	21	20	Infidel	$15	-	-95%	7	$2	$4,051,136	63	"Cloudburst Entertainment

"	0.3174603174603175
96	2020-11-18	1	1	Freaky	$165,890	-31.5%	-	2,472	$67	$4,218,470	6	"Universal Pictures

"	2.2675736961451256
97	2020-11-18	2	2	Let Him Go	$82,400	-37.2%	-73.5%	2,458	$33	$7,137,395	13	"Focus Features

"	0.7142857142857144
98	2020-11-18	3	6	The Last Shift	$49,971	-4.4%	+71,287.1%	135	$370	$986,957	55	"Stage 6 Films

"	0.04
99	2020-11-18	4	5	Come Play	$48,295	-23.3%	-67.7%	1,966	$24	$7,457,225	20	"Focus Features

"	1.7460317460317463
100	2020-11-18	5	3	The War with Grandpa	$46,568	-37%	-77.3%	2,145	$21	$15,399,721	41	"101 Studios

"	0.28169014084507044
101	2020-11-18	6	4	Honest Thief	$41,851	-33.8%	-67.3%	1,843	$22	$12,515,525	41	"Open Road Films (II)

"	0.5263157894736842
102	2020-11-18	7	8	The New Mutants	$7,283	-8.1%	-70.1%	215	$33	$23,764,020	83	"20th Century Studios

"	2.371829958036855
